month,questions,year,month_name,year_over_year_change_pct,post_chatgpt,log_questions,rolling_12_month_median
2020-05-01,186392,2020,May,23.196912013536377,False,12.135607261857668,147401.5
2020-06-01,171836,2020,Jun,26.497890916586297,False,12.0542958125643,149592.5
2020-07-01,165989,2020,Jul,9.9454210658789,False,12.019676800082813,150405.0
2020-08-01,148262,2020,Aug,8.158858460146767,False,11.906736257934913,150430.5
2020-09-01,141733,2020,Sep,3.5651131863153385,False,11.861700284944623,150430.5
2020-10-01,141752,2020,Oct,-7.108172399557011,False,11.861834330837905,148236.5
2020-11-01,134900,2020,Nov,-8.981114762062193,False,11.812289042195847,147427.0
2020-12-01,133867,2020,Dec,1.0332231429908356,False,11.804602048728288,147427.0
2021-01-01,139827,2021,Jan,-4.614849377865093,False,11.848161223181272,146638.5
2021-02-01,131628,2021,Feb,-9.231458814605386,False,11.787735041199335,145007.0
2021-03-01,148707,2021,Mar,-4.597944493629469,False,11.90973320598721,145007.0
2021-04-01,135826,2021,Apr,-25.711160335821916,False,11.819129933807494,141742.5
2021-05-01,133746,2021,May,-28.244774453839216,False,11.803697757768987,140780.0
2021-06-01,128927,2021,Jun,-24.97090248841919,False,11.76700163169393,137826.5
2021-07-01,123935,2021,Jul,-25.33541379248022,False,11.727512513601317,135363.0
2021-08-01,122044,2021,Aug,-17.683560183998594,False,11.71213691443245,134383.5
2021-09-01,119734,2021,Sep,-15.521438197173554,False,11.693027894655302,133806.5
2021-10-01,118814,2021,Oct,-16.181782267622324,False,11.685314524085337,132687.0
2021-11-01,119022,2021,Nov,-11.77020014825797,False,11.687063628956164,130277.5
2021-12-01,112078,2021,Dec,-16.276602896905136,False,11.626950336454817,126431.0
2022-01-01,119215,2022,Jan,-14.741072897222995,False,11.688683864622508,122989.5
2022-02-01,113747,2022,Feb,-13.58449570000304,False,11.641731962839033,120889.0
2022-03-01,123277,2022,Mar,-17.100741727020253,False,11.722189134850398,120889.0
2022-04-01,114002,2022,Apr,-16.067615920368706,False,11.643971271082389,119474.5
2022-05-01,115938,2022,May,-13.314790722713198,False,11.660810844443056,119118.5
2022-06-01,111220,2022,Jun,-13.73412861541803,False,11.619265500741555,118918.0
2022-07-01,110628,2022,Jul,-10.737079920926295,False,11.613928500586594,117376.0
2022-08-01,112636,2022,Aug,-7.708695224673068,False,11.631916659397689,114970.0
2022-09-01,103508,2022,Sep,-13.551706282259012,False,11.54740418338647,113874.5
2022-10-01,105800,2022,Oct,-10.953254666958435,False,11.569305798406337,113191.5
2022-11-01,109151,2022,Nov,-8.29342474500513,False,11.600487523640199,112357.0
2022-12-01,96196,2022,Dec,-14.170488409857418,True,11.474143055747744,111928.0
2023-01-01,96638,2023,Jan,-18.938053097345133,True,11.478727317590252,110924.0
2023-02-01,85580,2023,Feb,-24.762850888375077,True,11.357206889970808,109889.5
2023-03-01,87146,2023,Mar,-29.308792394363913,True,11.375340152017603,107475.5
2023-04-01,68389,2023,Apr,-40.010701566639185,True,11.132967271964477,104654.0
2023-05-01,66344,2023,May,-42.77631147682383,True,11.10260860613104,100073.0
2023-06-01,63528,2023,Jun,-42.880776838698075,True,11.059236032575047,96417.0
2023-07-01,62599,2023,Jul,-43.41486784539176,True,11.044504582519703,91671.0
2023-08-01,59953,2023,Aug,-46.77279022692568,True,11.001316200905034,86363.0
2023-09-01,52687,2023,Sep,-49.098620396491086,True,10.872124024782218,76984.5
